Número Identificador,Nome,Orientações em Andamento,Orientações concluidas
0000005794097038,Natanael de Carvalho Souza Rosa,0,0
,Salomão Roman da Silveira,0,3
0000028008893431,Verônica Palmiro da Silva e Lima,0,0
0000036350356979,Maura da Silva Costa Furtado,0,2
0000039450694651,Antonio Guerreiro Silva Serrano,0,0
0000052654865481,Fernando Emilio Puntel,0,5
0000061689355850,Roberto Mojolla,0,0
0000069445582595,Dinalva da Silva Correa,0,0
0000087284725171,Valeria Cristhian Meneguini,0,0
0000087575612067,Jeorge Luís dos Santos Amaral,4,0
0000096258045504,Sherlon Almeida da Silva,0,0
0000105379414332,Mariane Massufero Vergilio,0,0
0000116494169359,Leonardo de Aguiar Pereira,0,0
0000121659161468,Maria do Carmo Irochi Coelho,0,14
0000132036091094,Caio Fernandes,0,0
0000136496931211,Leonardo Pereira Vieira,0,0
0000159211241181,Denise Knuth Kolosque,0,0
0000172749625056,Ana Paula Libence de Souza Pinto,0,0
0000189965820653,Antonio Pereira dos Santos,0,0
0000192298532230,Beatriz Coelho Paz,0,0
0000192795399015,Gustavo Gabriel Theiss,0,0
0000227989858662,Monica Nascimento Santos Bila,0,0
0000239856112340,Elaine Miguel Spindola,0,0
0000243276268396,Cleber Schütz,0,0
0000244235176431,Beatriz Rios Zanetti,0,0
0000262104425268,Ruy de Azevedo Nobre Machado Filho,0,0
,Sergio Forbicini,0,0
0000269783122068,Antonio Marcos de Souza,0,0
0000295202050421,Simone Piñeiro Bressan Robles,0,0
0000315676393333,Rosana Cláudia Ferreira da Silva,0,0
0000340069768344,Celso Alfredo Schramm,0,1
0000345845914601,Cleide Rodrigues de Padua Lima,0,10
0000346109292138,Alice Andrade Silva,0,0
0000382172454462,Joao de Castro Freitas Neto,0,0
0000386987458271,João Carlos Duarte,0,6
0000397228959693,Daniel Fritzke Ferreira de Melo,0,0
0000422935927267,Carolina Pinto de Carvalho Martins,1,15
0000425677199718,Ester Missias Villaverde Antas,0,0
0000426561067083,Iremar Nunes de Lima,0,197
0000447751455398,Bruno Diego Lima Ribeiro,0,0
0000476305738830,Roberta Rossi Grüdtner,0,0
0000484647793486,Ana Paula Reis Santos Dias,0,5
0000496645045993,Giorgia Virgínia Büse,0,2
,Alex Sandro Magno de São José Santos,0,0
0000498358205053,Eliana Cavacami,0,0
0000498556995343,Maria Cecília Ladeira de Almeida,0,0
0000499887832543,Sâmia Senna Diógenes,0,0
0000509408619352,Vanessa Ester Ferreira Nunes,0,35
0000518927210780,Samuel Júlio dos Santos SIlva,0,0
0000528146683180,Emiliane Rodrigues Dutra,0,0
0000556466002008,Luciano Henrique de Tarso Luiz,0,33
0000587396480352,Anderson Castro de Oliveira,0,0
0000627564346803,Fernanda Maria Jacinto,0,4
0000641510600511,Rafaela Fernandes Leite,0,21
0000645729176737,Lucas Rego Ramos,0,0
0000655306844034,Isabella de Sousa Gonçalves,0,0
0000665507714302,Bruno de Souza Corrêa,12,0
0000670075693577,Rosemery de Lima Almeida,0,3
0000683992749272,Dilnei Schmidt,0,2
0000685435244382,Cicila Daiane Barbosa de Oliveira Duarte,0,0
0000726591549710,Arnaldo Pereira de Brito Filho,2,6
0000747133717954,Manuella Souza de Oliveira Pereira,0,0
0000747137881569,Monica Silva de Sousa,0,0
0000757537661715,Leandro Kfouri Martins Cerqueira,0,0
,Rita de Cássia Perni Rossi,0,0
0000774980499689,Luma Balbi de Figueiredo e Cordeiro,0,0
0000791143468016,Anderson Rodrigues de Souza,0,0
0000798344070673,Laís Mendes Velloso de Oliveira,0,0
0000846960304624,Everton Bispo dos Santos,0,0
,Silvia Helia Soriano Côrtes,0,2
0000871927731519,Clara Margaça,0,0
0000902999017567,Cícera Maria Mamede Santos,0,17
0000909696960967,Antônio José Roveroni,1,20
0000933077283628,Alcir José de Oliveira Júnior,0,4
0000945836498570,Gisele Chaves da Silva,0,0
0000968341410103,Joel Fernandes Peixoto,0,2
0000986516600449,Humphry Trevelyan,0,0
0000990948667239,Marli Irias,0,0
0000996508124136,Aridenio Bezerra Quintiliano,0,0
0000997517787428,Patricia Ferreira Rocha,2,67
0001005459180258,Thaís Pola Baptista Coelho,0,0
0001015796959554,Viviane do Amaral Ferini,0,0
